Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,51,1476630900,3024
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,43,1609279800,3987
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,41,1698964700,2468
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,39,1071451800,2899
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,38,2915003400,5009
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,37,2024061800,3707
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,36,10264004500,10783
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,36,569389400,1636
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,39,5433024500,7283
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,35,1509394900,2428
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,34,8794148200,8935
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,34,865382200,2320
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,34,170138500,608
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,33,2858786700,6438
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,33,768550600,2244
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,33,186082800,806
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,32,7555272800,9119
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,32,3996952200,6538
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,32,1039240200,2998
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,32,432497300,1259
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,32,144466100,438
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,36,8381468000,9490
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,31,986211900,2830
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,31,4004305200,4102
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,31,1101476500,1825
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,31,746781600,1830
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,31,307183400,953
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,37,8510375800,11904
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,30,3045947900,6412
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,30,4118509700,6684
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,30,1161214900,2890
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,30,582965200,1967
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,30,460300700,1201
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,30,469750400,1285
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,30,104131900,443
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,29,2101284900,3722
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,30,5884907900,9877
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,29,3923871400,6108
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,31,1567716100,4473
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,30,2499152300,3968
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,29,999756500,2211
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,29,1447650600,2155
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,29,811621100,2064
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,29,536618300,1369
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,29,217171200,612
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,29,218915700,682
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,29,69860200,280
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,30,6289839900,12342
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,28,3958752800,8469
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,28,827175100,2046
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,28,5096391300,6107
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,28,1548621800,2853
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,28,2726129900,3101
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,28,1664486400,3206
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,28,2333235000,3253
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,28,2136132300,2910
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,28,985667300,2237
