Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,16980000,75
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,6036000,23
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,3630600,16
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,10563200,57
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,142973600,439
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,52306600,174
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,209068300,466
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,14955400,89
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,135689100,418
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,1283700,8
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,60725700,142
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,35428400,141
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,4247200,20
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,16468900,69
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,33979500,130
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,18026300,115
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,77954100,190
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,50031500,135
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,33500500,177
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,16182600,67
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,2856800,13
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,361273300,919
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,24105900,85
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,6729300,13
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,56775700,190
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,10187900,33
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,2083800,10
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,120845500,289
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,62917200,212
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,256929900,820
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,46819600,148
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,50771200,277
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,2004100,13
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,32187100,156
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,2677800,22
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,21007500,139
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,202991800,562
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,24327800,122
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,271,100512300,516
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,34105900,130
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,13101600,58
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,,36237500,134
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,,44690600,167
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,,30272100,119
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,,2314100,16
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,,18450800,83
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,,9244800,51
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,240907200,739
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,,65791900,343
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,,22288400,75
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,,46386900,115
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,56377500,179
GBBBKoGCCCKoAAIoKoHoIJDDHEEJoLFFFooL,28,4829,,27799900,62
BBBoIoCCCoIoAAHoIJoGHDDJoGEEoKFFFooK,28,3919,,143855800,517
HBBCCCHoIJDDAAIJoLoEEJKLoFFFKLGGoooo,28,3513,,64030700,190
oIBBCCoIDDLoAAooLMEEFFLMooJKGGHHJKoo,28,2985,,6719000,33
GHBBBKGHCCoKGHAAoKDDIJooooIJEEooIFFF,28,2509,,4670600,39
BBBCCoDDEEEoAAJKooooJKFFIoGGLoIHHHLo,28,1954,,9084200,50
GBBCCoGoHIDDAAHIoLoEEJKLFFFJKLoooooo,28,1493,,23665200,83
FooIBBFGoIKoFGAAKLCCCJKLooHJooDDHEEo,28,1088,,17369200,83
BBBooKGoCCoKGoAAoKHoIJDDHoIJooHEEFFF,28,721,,9738600,47
ooHBBBooHCCoAAIJooGoIJDDGEEJoKGFFFoK,28,202,,2234600,16
BBoJCCDDDJoLoHAAKLoHEEKLooIFFoGGIooo,27,24871,,201010300,485
BBIoooGHIoKoGHAAKLGCCCKLoooJDDEEoJFF,27,14551,,3587000,15
GIoKBBGIJKooHIJAAMHooCCMDDDoLNEEFFLN,27,11675,,28510300,212
BBBoKooCCoKoAAHooooGHDDooGIJEEFFIJoo,27,9769,,78150700,275
BBBooLGoCCKLGAAJKoHDDJKoHoIEEEFFIooo,27,7858,84,50693000,142
FoooIJFBBBIJAAGHoKooGHoKoooHCCooDDEE,27,6631,,127064600,494
ooooIKBBBoIKFAAoJoFGCCJooGHDDoooHEEo,27,5556,,39219000,209
BBJKoNGoJKMNGAALMNHooLCCHIDDooHIEEFF,27,4934,,59047200,261
HBBCCoHDDJooAAIJooooIKEEFFFKLooGGGLo,27,4314,71,29024400,119
BBoKCCGooKDDGAAKoLHIJEELHIJooMFFFooM,27,3720,,27220700,100
IBBKLoIoJKLMAAJooMCCCDDMEEEFFoooGGHH,27,3120,,56453400,240
BBBJoKoooJoKAAIooKHoICCCHDDoEEoFFGGG,27,2683,,24176000,111
oooIBBoGHIoKoGHAAKCCDDJoFoooJLFEEEJL,27,2214,,29179800,134
BBCCCMIDDKLMIAAKLNEEJFFNooJGGGHHHooo,27,1858,,692300,3
oGooooEGoIBBEAAIKoFCCJKLFoHJKLFoHDDL,27,1618,,12426600,56
BBBIJKFooIJKFAAIJLGoHCCLGoHDDDEEEooo,27,1346,30,15564600,38
IBBCCMIDDooMJoKAAMJoKLEEJFFLooGGHHHo,27,1119,,2023600,19
FoooJKFBBBJKAAHIJKGoHICCGDDDooEEoooo,27,821,,14972100,31
BBBCCLHoDDKLHoAAKoHoIJEEFFIJoMGGGJoM,27,618,,8372300,37
oBBBCCDDKEEMJoKAAMJFFFoMJGGLHHoooLII,27,143,32,7937800,45
GHBBBoGHoJCCGAAJoKooIDDKooIEEKooIFFo,26,22013,,14635000,52
GoBBCCGoJooLAAJooLHIDDDLHIoKEEFFoKoo,26,15298,,44840300,292
BBBIoLoCCIJLAAHIJMGoHDDMGoEEKMFFooKo,26,12543,,193909000,536
