Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,33564800
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,1175164200
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,198621300
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,935904100
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,53680800
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,4450636600
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,7021433200
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,1016502700
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,324944400
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,2396774800
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,5671980200
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,598056300
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,40665100
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,635894500
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,572851400
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,223728800
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,5466390700
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,5995588700
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,2435469400
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,2339419600
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,39211300
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,13683556200
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,1155441700
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,37974300
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,376,2763563600
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,1065846300
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,65072800
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,510339600
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,3231335400
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,8785722200
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,4773926900
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,2995268400
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,1728817600
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,1548105100
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,189,788264200
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,1045466400
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,10637592300
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,249910200
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,2033048300
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,3460371900
