Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,394100,6
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,297200,5
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,635800,11
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,571500,10
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,360700,6
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,614100,9
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,495500,7
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,377800,6
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,388900,6
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,824100,15
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,516900,9
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,1002100,16
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,546200,10
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,351700,6
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,263700,5
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,270700,5
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,829800,14
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,506200,8
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,423500,7
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,675300,11
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,338400,7
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,605900,11
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,453800,8
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,292700,5
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,552200,12
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,396600,7
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,208900,4
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,604700,10
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,350600,5
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,605300,9
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,312000,6
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,464100,10
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,186900,4
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,701800,11
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,149000,3
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,1024500,18
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,498300,8
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,513300,10
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,360400,6
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,177200,3
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,442800,9
