Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,51,155166300
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,43,210604800
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,41,118757200
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,39,141786400
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,38,282476200
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,37,218127400
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,36,699991600
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,36,77074100
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,35,413768100
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,35,113708600
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,34,618311100
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,34,110392100
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,34,28208500
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,33,407801100
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,33,122582000
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,33,35976600
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,32,1071757600
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,32,387422900
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,32,149780400
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,32,57943900
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,32,19715700
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,31,634161600
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,31,142472400
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,31,232318700
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,31,90560700
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,31,81705900
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,31,43712000
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,30,726559100
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,30,384450000
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,30,378537800
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,30,158525500
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,30,99606000
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,30,54761000
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,30,59114600
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,30,18778200
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,29,223429000
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,29,553553700
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,29,498129200
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,29,248062700
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,29,200446600
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,29,126439000
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,29,117379100
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,29,121533700
