Code,Optimal-Steps,Tree-size,Steps,Time,Expanded
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,96,96748500,1491
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,71,129940300,2052
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,69,54268700,846
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,74,97847100,1546
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,53,217107300,3321
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,58,58024700,844
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,74,332549700,4747
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,64,46819500,760
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,86,173601500,2538
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,57,78413700,1246
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,64,299602100,4098
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,67,85382100,1405
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,43,12036100,203
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,76,197859500,3126
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,66,52937100,896
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,43,31347100,562
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,56,222940800,3278
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,76,220366200,3293
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,108,126866000,2075
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,41,29924700,505
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,39,12449100,226
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,61,142327800,2043
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,94,50587400,784
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,63,72052700,1047
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,50,25826300,386
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,42,30908000,516
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,54,31300700,536
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,62,253958400,3326
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,53,240962800,3519
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,51,310785400,4705
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,54,95506100,1518
