Code,Optimal-Steps,Tree-size,Steps,Time
GBBoLoGHIoLMGHIAAMCCCKoMooJKDDEEJFFo,51,4780,,310953100
GBBBooGCCCoKAAHIoKDDHIoKoooJEEoFFJoo,43,4918,,225806100
GoBBCCGDDDoKAAHIoKooHIEEoFFFJLooooJL,41,3275,,43014400
BBBJooHCCJoLHAAKoLDDIKoMooIEEMoFFGGo,39,5425,,585276400
HBBoCCHoJDDDAAJooLoIEEKLoIFFKMGGGoKM,38,6323,,2316937400
GBBBKMGCCCKMAAHILoDDHILooooJEEoooJFF,37,5548,,50622900
BBooLMGoCCLMGAAKLoHIJKDDHIJEENFFFooN,36,16463,,3998731200
GBBBoKGCCCoKAAHIoLDDHIoLoooJEEoooJFF,36,2885,,59961700
BBBJCCDDDJoLAAIooLooIEELHoFFKoHGGGKo,35,12139,,198343900
oBBBCCooIooLAAIooLHDDEELHFFJKoGGGJKo,35,3261,,773348500
HBBCCLHDDDoLAAIJoLooIJEEoFFFKoooGGKo,34,15379,,769842100
BBBCCLooJDDLAAJoKMEEFFKMIooGGMIooHHo,34,3728,,885070500
oBBBCCooJDDLAAJKoLIEEKoMIoFFoMIGGHHM,34,1095,,17753800
BBBCCKDDDIoKAAHIoLGoHEELGoFFJoooooJo,33,10265,,315837300
FBBBJoFoCCJoAAGHKoDDGHKooooIEEoooIoo,33,3768,,300484300
FooooJFBBBoJAAGHoKCCGHoKoooIDDoooIEE,33,1484,,23452300
HoBBCCHDDJoLAAIJoLooIEEMoFFFKMoGGGKo,32,31757,,248432300
GoBBKLGCCCKLAAHIKLooHIoooooJDDoEEJFF,32,6956,,3889345000
BBBCCLDDEEELAAJooMIoJFFMIGGoKoHHooKo,32,4260,,264343900
oooGooooFGBBAAFHIKCCoHIKEDDDJoEoooJo,32,2042,,1029140200
HIBBCCHIooLoHIAALoDDJKLoooJKEEoFFGGo,32,686,,101981700
ooIBBBCCIJKoHAAJKoHooJDDEEFFoLGGGooL,31,15523,,3843573400
GoIBBBGoIJoKGAAJoKCCDDoKoHEEoooHFFoo,31,7995,,935834200
GBBBKoGoCCKoAAIJKoHoIJDDHEEJoLFFFooL,31,5244,,10829600
BBIoooGoICCCGAAJoKDDoJoKHooJEEHFFFoo,31,3149,,83305500
oooGooooFGBBAAFGHJCCooHJEDDDIJEoooIo,31,1981,,526876600
BBBKCCIooKDDIoAAoLIEEEoLooJFFMGGJHHM,31,1005,,21158800
BBBoKooCCoKoAAHJoooGHJDDoGIEELFFIooL,30,24438,,861076100
ooIBBoGHICCLGHAAJLoDDoJMEEEoKMFFooKo,30,11292,,3312554100
BBooKoGCCCKoGAAoKLHIJDDLHIJEEMFFFooM,30,7114,,5807600700
EoooIKEBBBIKAAFGJLooFGJLoooHCCoooHDD,30,4985,,481586600
GoJBBBGoJCCCHAAKoLHIoKoLHIDDoMEEFFoM,30,3537,,12250200
BBHCCoDDHoJoGAAoJoGEEEJoGooIoooooIFF,30,2481,,21903100
FBBHIKFoGHIKAAGHJLoCCCJLDDDoJLEEoooo,30,1563,,1031356200
BBBooIoEFooIoEFAAIooGHCCooGHooooGDDo,30,607,,277403500
GBBJooGHoJCCGHIAALDDIoKLEEEoKMFFFooM,29,24132,,609861800
EoHBBBEoHIoKFAAIJKFooIJLoGCCJLoGDDoo,29,13525,,2400377100
HIBBCCHIJooMAAJoLMDDEELMoooKFFGGoKoo,29,9673,,316989500
GBBICCGDDIooAAHIooooHEEJooHooJFFoooJ,29,7253,,81177500
BBGHoJFoGHoJFAAHooFoCCCoDDDoIoEEEoIo,29,5137,,376570100
BBBIJoGooIJoGAAIooooHCCoDDHoKoEEFFKo,29,3920,,130879600
oooJBBoHIJoLoHIAALCCDDKMGEEEKMGFFFKo,29,3145,,207794900
BBBCCLDDIEELAAIJoMHFFJKMHGGJKooooooo,29,2530,,925746500
FoIoooFoIBBBGAAJoLGHoJKLGHCCKMDDEEoM,29,1950,,5906400
BBGCCoFoGoIoFAAoIoFDDDIooooHoooooHEE,29,1410,,36386000
FoIoooFoIBBBGAAJooGHoJKLGHCCKLDDDEEL,29,795,,22878700
IoJKBBIoJKLMIoAALMCCCDDMEEEFFoGGHHHo,29,283,,120173400
BBBCCKoDDooKAAHooLGoHEELGFFIJooooIJo,28,21246,,1994545800
oKBBCCoKoMDDIAAMoNIoLEENJoLFFNJGGHHo,28,13413,,17101000
oIBBCCoIDDLMAAJoLMHoJKoNHEEKoNFFoKGG,28,9653,,86524500
HBBJCCHoIJDDAAIJKooEEoKLoFFFKLGGGooo,28,7168,,1479887100
BBBKMooCCKMoAAJLooIoJLDDIEEFFoGGHHoo,28,5985,,854905200
